id,value,feed_id,created_at,lat,lon,ele
0E6KXC9ZS32N8G0792Y29QX2V8,2.794922,1115832,2019-07-02 12:33:50 UTC,0.0,0.0,0.0
0E6KXCACKQTHM0HNQ022V5KX9G,2.794922,1115832,2019-07-02 12:33:51 UTC,0.0,0.0,0.0
0E6KXCB117M0GFZBP5R5RG4ZMJ,2.794922,1115832,2019-07-02 12:33:53 UTC,0.0,0.0,0.0
0E6KXCBMJN8GAR3JMBK4NGWGXV,2.791992,1115832,2019-07-02 12:33:55 UTC,0.0,0.0,0.0
0E6KXCC9ZSGA9YX1YSHB1Q5ZXK,2.791992,1115832,2019-07-02 12:33:57 UTC,0.0,0.0,0.0
0E6KXCCVATZNC6E2GVF6N4JC20,2.786133,1115832,2019-07-02 12:33:59 UTC,0.0,0.0,0.0
0E6KXCDFEGDPKSRAC594WQVZQY,2.786133,1115832,2019-07-02 12:34:01 UTC,0.0,0.0,0.0
0E6KXCE2Z5ZSYYBSPFR0BZDC0D,2.791992,1115832,2019-07-02 12:34:03 UTC,0.0,0.0,0.0
0E6KXCEPG7DKZQZHXDQ9YE0X1Z,2.791992,1115832,2019-07-02 12:34:05 UTC,0.0,0.0,0.0
0E6KXCFA4BEA2EH5B48M2CPE0J,2.791992,1115832,2019-07-02 12:34:07 UTC,0.0,0.0,0.0
0E6KXCG5RZ252BPE9QCXK4PT0W,2.791992,1115832,2019-07-02 12:34:10 UTC,0.0,0.0,0.0
0E6KXCGGT1P8GME41K7GDA6HF0,2.791992,1115832,2019-07-02 12:34:11 UTC,0.0,0.0,0.0
0E6KXCH47X43086JSYYH22T2GP,2.789063,1115832,2019-07-02 12:34:13 UTC,0.0,0.0,0.0
0E6KXCHQVWYDTD4316RXM9ZR1W,2.789063,1115832,2019-07-02 12:34:15 UTC,0.0,0.0,0.0
0E6KXCJCJDAC6M0F5MEH5AEY0B,2.789063,1115832,2019-07-02 12:34:17 UTC,0.0,0.0,0.0
0E6KXCJZ4BS72VN4A18WKD3A0C,2.789063,1115832,2019-07-02 12:34:19 UTC,0.0,0.0,0.0
0E6KXCKKAMSZREK7M5SWSR2MKD,2.783203,1115832,2019-07-02 12:34:21 UTC,0.0,0.0,0.0
0E6KXCM6BYXWZDGJVTHZ7T5001,2.789063,1115832,2019-07-02 12:34:23 UTC,0.0,0.0,0.0
0E6KXCMSV2TS7M3PHVFD0S4HMN,2.789063,1115832,2019-07-02 12:34:25 UTC,0.0,0.0,0.0
0E6KXCNDR3N6NNWBVABX6KJMMB,2.789063,1115832,2019-07-02 12:34:27 UTC,0.0,0.0,0.0
0E6KXCP1C0JZQ5E2GN6RKCE9Q7,2.789063,1115832,2019-07-02 12:34:29 UTC,0.0,0.0,0.0
0E6KXCPMQA7E0HB36WJBY3M1EV,2.780273,1115832,2019-07-02 12:34:31 UTC,0.0,0.0,0.0
0E6KXCQ915VEH7QM43S4RX0DKH,2.789063,1115832,2019-07-02 12:34:33 UTC,0.0,0.0,0.0
0E6KXCQVW0ZK0ZAG27TJN9SCZG,2.789063,1115832,2019-07-02 12:34:35 UTC,0.0,0.0,0.0
0E6KXCRG2C8W7ZHFZFWRT7X4TX,2.789063,1115832,2019-07-02 12:34:37 UTC,0.0,0.0,0.0
0E6KXCS3KEHWB7NQ5Y33BGVK34,2.789063,1115832,2019-07-02 12:34:39 UTC,0.0,0.0,0.0
0E6KXCSQ8FHH6BSE8CBYGK77EN,2.789063,1115832,2019-07-02 12:34:41 UTC,0.0,0.0,0.0
0E6KXCTAWF5BH1HRHX8VE43AQP,2.789063,1115832,2019-07-02 12:34:43 UTC,0.0,0.0,0.0
0E6KXCTY06R6T9BJX49V735KY3,2.789063,1115832,2019-07-02 12:34:45 UTC,0.0,0.0,0.0
0E6KXCVJM80JQ8Z7MFS1S2MWNF,2.786133,1115832,2019-07-02 12:34:47 UTC,0.0,0.0,0.0
0E6KXCW5295V314ZP897Z8WH4D,2.786133,1115832,2019-07-02 12:34:49 UTC,0.0,0.0,0.0
0E6KXCWRWXC5M56H75RHAEEKSC,2.777344,1115832,2019-07-02 12:34:51 UTC,0.0,0.0,0.0
0E6KXCXD0XCRRX7FFXQ60A4MG9,2.786133,1115832,2019-07-02 12:34:53 UTC,0.0,0.0,0.0
0E6KXCY0YJQ12AP3GP48VZRP4K,2.786133,1115832,2019-07-02 12:34:55 UTC,0.0,0.0,0.0
0E6KXCYMBNNJT1F2ERWCCPP35G,2.786133,1115832,2019-07-02 12:34:57 UTC,0.0,0.0,0.0
0E6KXCZ71BJD130N8CV6NWWH3F,2.786133,1115832,2019-07-02 12:34:59 UTC,0.0,0.0,0.0
0E6KXCZV7JY6N7KQ89PQNZ9E89,2.786133,1115832,2019-07-02 12:35:01 UTC,0.0,0.0,0.0
0E6KXD0ECV1F5YSZ6PFQ1303SX,2.786133,1115832,2019-07-02 12:35:03 UTC,0.0,0.0,0.0
0E6KXD121EJ06X0JV2FBZ3WX7S,2.786133,1115832,2019-07-02 12:35:05 UTC,0.0,0.0,0.0
0E6KXD1PAKW80KPDZ9TDH1QQWS,2.786133,1115832,2019-07-02 12:35:07 UTC,0.0,0.0,0.0
0E6KXD29R994VXVQWE35VHKY3B,2.786133,1115832,2019-07-02 12:35:09 UTC,0.0,0.0,0.0
0E6KXD35T24X17AK6F1NRPZT92,2.786133,1115832,2019-07-02 12:35:12 UTC,0.0,0.0,0.0
0E6KXD3GBC2N19MQC5639A8JHS,2.786133,1115832,2019-07-02 12:35:13 UTC,0.0,0.0,0.0
0E6KXD43YJ5SBNSKS1CD0SZTP6,2.768555,1115832,2019-07-02 12:35:15 UTC,0.0,0.0,0.0
0E6KXD4QJQJ519GV2GHJ5SWC3S,2.786133,1115832,2019-07-02 12:35:17 UTC,0.0,0.0,0.0
0E6KXD5BWRR1TGW20T1PJC592S,2.786133,1115832,2019-07-02 12:35:19 UTC,0.0,0.0,0.0
0E6KXD5YR3K82CHW2CJ253QN4Z,2.771484,1115832,2019-07-02 12:35:21 UTC,0.0,0.0,0.0
0E6KXD6J94M3CDN18EZ3FRKJZT,2.783203,1115832,2019-07-02 12:35:23 UTC,0.0,0.0,0.0
0E6KXD76P4N308XVTTGKPVPNXC,2.783203,1115832,2019-07-02 12:35:25 UTC,0.0,0.0,0.0
0E6KXD7TAEF1038M14EVE7TKSX,2.783203,1115832,2019-07-02 12:35:28 UTC,0.0,0.0,0.0
0E6KXD8D1WF2PQRWPWFET8ZRVS,2.783203,1115832,2019-07-02 12:35:29 UTC,0.0,0.0,0.0
0E6KXD90P65KGKGTSG5YSAPGSJ,2.771484,1115832,2019-07-02 12:35:31 UTC,0.0,0.0,0.0
0E6KXD9MJKW6K7ZWAKDGT2M2TM,2.783203,1115832,2019-07-02 12:35:33 UTC,0.0,0.0,0.0
0E6KXDA7W0D4REC8CDRTQ4XW3C,2.783203,1115832,2019-07-02 12:35:35 UTC,0.0,0.0,0.0
0E6KXDAW8G8YEV8N4W09JZK94V,2.783203,1115832,2019-07-02 12:35:38 UTC,0.0,0.0,0.0
0E6KXDBFWJNBP3V9C71052GAV3,2.783203,1115832,2019-07-02 12:35:40 UTC,0.0,0.0,0.0
0E6KXDC37RDDHEE8W5DGP4YCTD,2.768555,1115832,2019-07-02 12:35:42 UTC,0.0,0.0,0.0
0E6KXDCPRG0E7EQXNMQPKAVYWY,2.783203,1115832,2019-07-02 12:35:44 UTC,0.0,0.0,0.0
0E6KXDDAKNRJTV8SQ80874K8Z7,2.780273,1115832,2019-07-02 12:35:46 UTC,0.0,0.0,0.0
0E6KXDDXESYWSEC93N5RAF6TCX,2.783203,1115832,2019-07-02 12:35:47 UTC,0.0,0.0,0.0
