id,value,feed_id,created_at,lat,lon,ele
0E6PZWRAMPQ9ZDN6KBPBDK66D1,2.727539,1116915,2019-07-06 08:23:08 UTC,0.0,0.0,0.0
0E6PZWRPKFERH7EHM5QQZ3JFSC,2.727539,1116915,2019-07-06 08:23:09 UTC,0.0,0.0,0.0
0E6PZWSA71KVG8NSEPF1HDQM3A,2.727539,1116915,2019-07-06 08:23:11 UTC,0.0,0.0,0.0
0E6PZWSXVQYZ659P0D1190KGCS,2.727539,1116915,2019-07-06 08:23:13 UTC,0.0,0.0,0.0
0E6PZWTHFRX9D2V9Q170DH6S38,2.727539,1116915,2019-07-06 08:23:15 UTC,0.0,0.0,0.0
0E6PZWV53JJBP0WP9TVM04Z3ZS,2.721680,1116915,2019-07-06 08:23:17 UTC,0.0,0.0,0.0
0E6PZWVRQY1JP7SSFTQJMBCBNV,2.721680,1116915,2019-07-06 08:23:19 UTC,0.0,0.0,0.0
0E6PZWWC97T7EC7QZSEFA48H3Y,2.721680,1116915,2019-07-06 08:23:21 UTC,0.0,0.0,0.0
0E6PZWWZWYQCZ1M251RTT34ET9,2.718750,1116915,2019-07-06 08:23:23 UTC,0.0,0.0,0.0
0E6PZWXKHFXAGE43T220Q1D0FQ,2.718750,1116915,2019-07-06 08:23:25 UTC,0.0,0.0,0.0
0E6PZWY78894NNT8WPME2R8XJ0,2.718750,1116915,2019-07-06 08:23:27 UTC,0.0,0.0,0.0
0E6PZWYTQPFVTSXB48XPEEEDX9,2.718750,1116915,2019-07-06 08:23:29 UTC,0.0,0.0,0.0
0E6PZWZQPT6VRV77A5B78HKNNG,2.718750,1116915,2019-07-06 08:23:32 UTC,0.0,0.0,0.0
0E6PZX01VFJ9S5M08E1AXDYMJ2,2.718750,1116915,2019-07-06 08:23:33 UTC,0.0,0.0,0.0
0E6PZX0NFA00M72NESS7M4CB6B,2.718750,1116915,2019-07-06 08:23:35 UTC,0.0,0.0,0.0
0E6PZX190CV1SEC925CWN5PCHA,2.718750,1116915,2019-07-06 08:23:37 UTC,0.0,0.0,0.0
0E6PZX1WMR8QNVX8DDM5N3YYTE,2.709961,1116915,2019-07-06 08:23:39 UTC,0.0,0.0,0.0
0E6PZX2G9V0BSX3SV9EF7TENGF,2.718750,1116915,2019-07-06 08:23:41 UTC,0.0,0.0,0.0
