id,value,feed_id,created_at,lat,lon,ele
0E6E1DNG3K2XTEQMECZZPMX9QF,0.000000,1108344,2019-06-25 05:22:29 UTC,0.0,0.0,0.0
0E6E1DNVJZMZAD74V9HG1F1ZNZ,0.000000,1108344,2019-06-25 05:22:30 UTC,0.0,0.0,0.0
0E6E1DNVKGPQ95WEHBP4NZYX5N,0.000000,1108344,2019-06-25 05:22:30 UTC,0.0,0.0,0.0
0E6E1DNYXWG435H4C39GX0GQ7S,0.000000,1108344,2019-06-25 05:22:31 UTC,0.0,0.0,0.0
0E6E1DNYY2MTQYK4Q7HHRZHC4R,0.000000,1108344,2019-06-25 05:22:31 UTC,0.0,0.0,0.0
0E6E1DP2E75A0GYVX3R9KNQ5BR,0.000000,1108344,2019-06-25 05:22:31 UTC,0.0,0.0,0.0
0E6E1DP6FZ078WHPZ9K5DD8C99,0.000000,1108344,2019-06-25 05:22:31 UTC,0.0,0.0,0.0
0E6E1DPAB0GEMHEDDWBGGA8CS3,0.000000,1108344,2019-06-25 05:22:32 UTC,0.0,0.0,0.0
0E6E1DPEBHJP09RRAXTEFDXXS3,0.000000,1108344,2019-06-25 05:22:32 UTC,0.0,0.0,0.0
0E6E1DPJBPQTP21JTCZGEHHAV1,0.000000,1108344,2019-06-25 05:22:33 UTC,0.0,0.0,0.0
0E6E1DPPEZ7JT7ZTJ1PYEFE2AK,0.000000,1108344,2019-06-25 05:22:33 UTC,0.0,0.0,0.0
0E6E1DPT8Q5GN3QWETAPE4HMPV,0.000000,1108344,2019-06-25 05:22:33 UTC,0.0,0.0,0.0
0E6E1DPY8F5KSGTDW2A56P5AH2,0.000000,1108344,2019-06-25 05:22:34 UTC,0.0,0.0,0.0
0E6E1DQ25NBG5XP3ERDRPFZ37A,0.000000,1108344,2019-06-25 05:22:34 UTC,0.0,0.0,0.0
0E6E1DQ65KJ399QSV8662K2J0Q,0.000000,1108344,2019-06-25 05:22:35 UTC,0.0,0.0,0.0
0E6E1DQA5DJ2Q8FZ7DZPMZBKZ5,0.000000,1108344,2019-06-25 05:22:35 UTC,0.0,0.0,0.0
0E6E1DQE5Q6Z9YSC701C3X0QGH,0.000000,1108344,2019-06-25 05:22:35 UTC,0.0,0.0,0.0
0E6E1DQJ3507R3BTQ66BXEQSQP,0.000000,1108344,2019-06-25 05:22:36 UTC,0.0,0.0,0.0
0E6E1DQP3C0Y14KS907X70W4EC,0.000000,1108344,2019-06-25 05:22:36 UTC,0.0,0.0,0.0
0E6E1DQT01Y6K1G0H1S0WV5YDG,0.000000,1108344,2019-06-25 05:22:37 UTC,0.0,0.0,0.0
0E6E1DQY0FTFANKXMCKMKFJE7R,0.000000,1108344,2019-06-25 05:22:37 UTC,0.0,0.0,0.0
0E6E1DR20KWSX8EA68K0KMMBEC,0.000000,1108344,2019-06-25 05:22:37 UTC,0.0,0.0,0.0
0E6E1DR60BE1Q7EE942N9SZNE3,0.000000,1108344,2019-06-25 05:22:38 UTC,0.0,0.0,0.0
0E6E1DR9XA7M36P23QVRNTDQ06,0.000000,1108344,2019-06-25 05:22:38 UTC,0.0,0.0,0.0
0E6E1DRDXFQQE0ETA17P5NMNP0,0.000000,1108344,2019-06-25 05:22:39 UTC,0.0,0.0,0.0
0E6E1DRHYB2H6M4HSA0A1B49F5,0.000000,1108344,2019-06-25 05:22:39 UTC,0.0,0.0,0.0
0E6E1DRNTKBM2PHHRCQ7P4C59C,0.000000,1108344,2019-06-25 05:22:39 UTC,0.0,0.0,0.0
0E6E1DRSVGK73A242G6AF4TKVM,0.000000,1108344,2019-06-25 05:22:40 UTC,0.0,0.0,0.0
0E6E1DRXTV9P5BCAJATD96KCFS,0.000000,1108344,2019-06-25 05:22:40 UTC,0.0,0.0,0.0
0E6E1DS1R6C4YNWJR6BXHFABJX,0.000000,1108344,2019-06-25 05:22:41 UTC,0.0,0.0,0.0
0E6E1DS5SB9YER386BE87ZK8HQ,0.000000,1108344,2019-06-25 05:22:41 UTC,0.0,0.0,0.0
0E6E1H0DXESKSSWRTQGA4B5VH6,0.000000,1108344,2019-06-25 05:28:19 UTC,0.0,0.0,0.0
0E6E1H0VJ856W5BBDWGXH5QSNT,0.000000,1108344,2019-06-25 05:28:21 UTC,0.0,0.0,0.0
0E6E1H0VJ8X1JH2E4ZBJC045M5,0.000000,1108344,2019-06-25 05:28:21 UTC,0.0,0.0,0.0
0E6E1H0VJFYPNF3RT3QN057Q57,0.000000,1108344,2019-06-25 05:28:21 UTC,0.0,0.0,0.0
0E6E1H0VJXCJPKSTVZDTXWKW1E,0.000000,1108344,2019-06-25 05:28:21 UTC,0.0,0.0,0.0
0E6E1H0YW4KTFE435W49XT093A,0.000000,1108344,2019-06-25 05:28:21 UTC,0.0,0.0,0.0
0E6E1H12S483AV5FQGD0515HJY,0.000000,1108344,2019-06-25 05:28:22 UTC,0.0,0.0,0.0
0E6E1H16WEXSHKAEEPA3NVKQ1W,0.000000,1108344,2019-06-25 05:28:22 UTC,0.0,0.0,0.0
0E6E1H1AR665KNYVE87ZJ48ZWN,0.000000,1108344,2019-06-25 05:28:22 UTC,0.0,0.0,0.0
0E6E1H1EPVKMDE8G613KN2TGYT,0.000000,1108344,2019-06-25 05:28:23 UTC,0.0,0.0,0.0
0E6E1H1JPHH3A04XVFG3MH4VPD,0.000000,1108344,2019-06-25 05:28:23 UTC,0.0,0.0,0.0
0E6E1H1PKRM2161JFHRNFHRG3H,0.000000,1108344,2019-06-25 05:28:24 UTC,0.0,0.0,0.0
0E6E1H1TKJCBWWRXN683YNCX5Q,0.000000,1108344,2019-06-25 05:28:24 UTC,0.0,0.0,0.0
0E6E1H1YMFGV8KY822MNKDABQA,0.000000,1108344,2019-06-25 05:28:24 UTC,0.0,0.0,0.0
0E6E1H22KH5EMDRKTB9TA4GF3B,0.000000,1108344,2019-06-25 05:28:25 UTC,0.0,0.0,0.0
0E6E1H26GVZ376HCEVDG65CDNP,0.000000,1108344,2019-06-25 05:28:25 UTC,0.0,0.0,0.0
